NIM,Algoritma_Pemrograman,Struktur_Data,Basis_Data,Rekayasa_Perangkat_Lunak,Matematika_Diskrit,Statistika_Probabilitas,Jaringan_Komputer,Sistem_Operasi,Keamanan_Informasi,Pemrograman_Mobile,Peminatan
211100168,67,66,66,60,86,66,90,92,88,65,Jaringan & Keamanan Siber
211100231,80,60,66,72,89,100,86,80,85,78,Jaringan & Keamanan Siber
211100026,73,88,96,89,54,65,82,62,74,77,Software Engineering
211100064,70,92,80,79,59,53,78,70,57,57,Software Engineering
211100010,82,88,77,79,66,55,72,72,70,67,Software Engineering
211100111,88,41,96,68,89,74,76,59,63,89,Data Science & AI
211100187,68,78,77,52,83,53,89,89,74,65,Jaringan & Keamanan Siber
211100144,84,78,88,64,80,83,67,86,74,77,Data Science & AI
211100245,87,83,72,86,64,72,72,67,62,77,Sistem Informasi & Mobile
211100225,71,75,89,54,86,71,75,72,80,79,Jaringan & Keamanan Siber
211100091,84,66,82,82,83,82,56,77,76,91,Data Science & AI
211100077,77,82,99,81,81,62,69,87,63,88,Software Engineering
211100083,78,84,98,66,78,92,85,64,65,67,Data Science & AI
211100241,62,71,78,80,86,83,57,78,78,73,Sistem Informasi & Mobile
211100173,75,67,77,76,60,80,78,87,84,88,Jaringan & Keamanan Siber
211100120,82,56,77,73,70,85,69,75,72,83,Data Science & AI
211100203,70,72,83,56,40,71,94,90,83,65,Jaringan & Keamanan Siber
211100078,86,78,86,88,76,54,62,67,69,76,Software Engineering
211100056,82,80,90,83,73,65,65,65,73,65,Software Engineering
211100105,93,65,89,69,80,88,76,54,84,83,Data Science & AI
211100204,78,60,74,75,80,97,84,78,81,52,Jaringan & Keamanan Siber
211100212,64,68,70,59,77,64,80,75,64,68,Jaringan & Keamanan Siber
211100199,60,56,63,78,79,75,87,85,77,74,Jaringan & Keamanan Siber
211100140,85,63,96,71,79,83,56,60,82,63,Data Science & AI
211100043,96,94,80,88,76,83,60,76,80,52,Software Engineering
211100214,74,70,76,75,66,64,82,92,73,55,Jaringan & Keamanan Siber
211100298,50,69,72,95,79,71,82,61,75,83,Sistem Informasi & Mobile
211100034,81,75,82,77,79,68,61,66,74,64,Software Engineering
211100074,83,75,84,70,80,74,72,79,86,80,Software Engineering
211100184,77,72,79,72,63,73,73,82,81,67,Jaringan & Keamanan Siber
211100076,75,72,75,89,60,96,74,71,61,77,Software Engineering
211100006,84,79,77,86,80,79,61,66,73,79,Software Engineering
211100169,74,69,60,73,58,81,78,83,83,67,Jaringan & Keamanan Siber
211100158,87,57,84,56,85,81,53,81,62,61,Data Science & AI
211100301,50,61,79,95,75,56,74,54,80,78,Sistem Informasi & Mobile
211100079,83,72,84,86,75,80,78,74,69,53,Software Engineering
211100177,86,77,70,53,67,61,97,80,82,75,Jaringan & Keamanan Siber
211100285,72,54,92,73,72,59,64,61,63,78,Sistem Informasi & Mobile
211100223,66,63,77,68,63,83,91,77,68,80,Jaringan & Keamanan Siber
211100085,81,76,74,73,83,85,72,94,63,64,Data Science & AI
211100008,84,92,81,92,43,78,70,67,70,50,Software Engineering
211100194,57,74,65,68,96,54,83,85,89,70,Jaringan & Keamanan Siber
211100286,64,78,74,83,82,64,62,67,81,83,Sistem Informasi & Mobile
211100282,68,63,94,79,88,78,74,73,73,68,Sistem Informasi & Mobile
211100047,95,82,77,83,68,67,76,77,64,64,Software Engineering
211100004,77,94,81,74,78,57,72,50,56,71,Software Engineering
211100261,51,76,77,73,63,68,63,47,78,90,Sistem Informasi & Mobile
211100195,73,66,72,66,76,66,84,81,89,69,Jaringan & Keamanan Siber
211100227,74,74,82,59,76,81,69,84,78,69,Jaringan & Keamanan Siber
211100178,70,86,63,71,62,56,77,81,78,63,Jaringan & Keamanan Siber
211100058,82,93,84,80,78,47,72,77,55,81,Software Engineering
211100095,73,78,86,69,94,74,54,63,69,72,Data Science & AI
